id,symbol,status,baseAsset,quoteAsset
b907355b-9adb-4bdc-95dd-59c00ecfb8c4,POWRBNB,BREAK,POWR,BNB
901d9187-5846-475b-8a7e-4814aa8eadb3,VENBTC,BREAK,VEN,BTC
7276797e-d39e-49f4-b165-3ac75985ef91,VENETH,BREAK,VEN,ETH
eadbad5d-5682-4cbf-ac8a-3c0a78676a86,KMDBTC,TRADING,KMD,BTC
9ec6a7d5-11b2-4bce-b2c0-d8da3279fc39,KMDETH,BREAK,KMD,ETH
d125b8c1-0285-467f-b296-9645c1c6117f,NULSBNB,BREAK,NULS,BNB
db459480-736e-4a6a-a150-cb96a5e5f5de,RCNBTC,BREAK,RCN,BTC
fca28bef-65f6-4813-b656-46d3e605a9fc,RCNETH,BREAK,RCN,ETH
b270410d-c02c-4049-979b-79ae9de5388d,RCNBNB,BREAK,RCN,BNB
19bebfdc-f53d-4899-bce8-e3a14d45d30f,NULSBTC,TRADING,NULS,BTC
afc5af2b-2075-473b-bb29-9127f5ac619f,NULSETH,BREAK,NULS,ETH
4a9a5f84-1004-470d-8112-f71d7c6ac24d,RDNBTC,BREAK,RDN,BTC
4901cea5-5ad0-4459-b20b-ec1894a9d49f,RDNETH,BREAK,RDN,ETH
14ebbb88-0ecb-4673-8f9d-58970502441d,RDNBNB,BREAK,RDN,BNB
3bf09065-d276-42e3-acf0-c08ead7a0b14,XMRBTC,BREAK,XMR,BTC
f8fcfdeb-1e19-468e-8b1a-f8d91f1161b3,XMRETH,BREAK,XMR,ETH
65386af4-12b0-41ed-8429-4d3a724dd167,DLTBNB,BREAK,DLT,BNB
c597a85e-62cb-4738-9459-e68b620f606d,WTCBNB,BREAK,WTC,BNB
c783acb6-157e-46bc-a5ec-68549cd54802,DLTBTC,BREAK,DLT,BTC
60ca0ebc-f789-4c12-8a61-c676330dcb91,DLTETH,BREAK,DLT,ETH
1d802af8-b8ef-4509-a8e5-306b41ff7b8f,AMBBTC,BREAK,AMB,BTC
60d41a7b-a012-465c-b423-f67bdb0c2589,AMBETH,BREAK,AMB,ETH
0666e613-961e-4f48-afdb-8ebcebd9dfcd,AMBBNB,BREAK,AMB,BNB
1c910649-f3f7-48a0-98e5-f860236158c5,BCCETH,BREAK,BCC,ETH
bc78f50c-b365-4604-904d-103642f056e5,BCCUSDT,BREAK,BCC,USDT
0fedd3f7-ba9b-4423-a8e5-b41402eacc17,BCCBNB,BREAK,BCC,BNB
69a086f7-76be-4941-94c6-a6d4eae09bb2,BATBTC,TRADING,BAT,BTC
45874117-f72f-4379-b84b-ec0080b67ffd,BATETH,BREAK,BAT,ETH
d5c837aa-41d8-41b0-9167-62e1cc47bd03,BATBNB,BREAK,BAT,BNB
c578c442-3d22-425f-862c-5010e81b53e1,BCPTBTC,BREAK,BCPT,BTC
d93eeb6b-cd67-4e9e-93ee-3975a737aa48,BCPTETH,BREAK,BCPT,ETH
025f9565-dfcc-48f6-ae13-3f6f672bcc85,BCPTBNB,BREAK,BCPT,BNB
1f85368a-c027-4ed1-b849-165606d8ed9e,ARNBTC,BREAK,ARN,BTC
090f8af2-f262-44e1-be4f-91195eab57c2,ARNETH,BREAK,ARN,ETH
91fae602-776d-4a2e-899e-5cf868286bfd,GVTBTC,BREAK,GVT,BTC
0aeb0e78-51e1-4bb9-a9ca-1a13f85a9a81,GVTETH,BREAK,GVT,ETH
c8513f68-a99b-4602-a55f-1345d0570e7c,CDTBTC,BREAK,CDT,BTC
28847742-1413-4cde-88f9-ecc07ca6488f,CDTETH,BREAK,CDT,ETH
6509a742-9b86-410e-ad87-2176f805fae4,GXSBTC,BREAK,GXS,BTC
24998ac8-f2e9-40ca-9703-8ff27c397245,GXSETH,BREAK,GXS,ETH
dd013ea1-ddb0-40e5-b290-cf969130f714,NEOUSDT,TRADING,NEO,USDT
cd670b20-d0dd-488a-9f38-0530ad07e203,NEOBNB,BREAK,NEO,BNB
ceb22e57-8c03-4fd1-8689-deec5c553491,POEBTC,BREAK,POE,BTC
7a198041-adbf-47b1-aad6-92d1f9205706,POEETH,BREAK,POE,ETH
e404cb4f-9532-4c26-b5aa-0aec472b9640,QSPBTC,BREAK,QSP,BTC
04ba7a68-4aff-426e-b691-2910e5b7292c,QSPETH,BREAK,QSP,ETH
7b6f0106-8759-4cb5-a5ce-044f811293e2,QSPBNB,BREAK,QSP,BNB
0623e29b-a706-4da8-80b5-6b9bbb25054f,BTSBTC,BREAK,BTS,BTC
83f5190b-0551-4c06-a6a2-e10028382edc,BTSETH,BREAK,BTS,ETH
364a43ae-9864-42f6-95c3-2eec14763020,BTSBNB,BREAK,BTS,BNB
f666505a-1aa5-4133-889f-89c7d7b41619,XZCBTC,BREAK,XZC,BTC
5c267f3f-8245-48fc-a3cc-1f80c00219ce,XZCETH,BREAK,XZC,ETH
d4208564-0cfb-4dfd-ad4e-e23a8fb8dcf4,XZCBNB,BREAK,XZC,BNB
c6617844-5797-4a0d-b937-7b8092252dd5,LSKBTC,TRADING,LSK,BTC
9248ef56-e926-4f02-a338-389a76e43700,LSKETH,BREAK,LSK,ETH
138942bb-3cb5-4dd8-86db-a0acdf56f64b,LSKBNB,BREAK,LSK,BNB
79482642-b19c-4aea-95ef-b5e8b79a460a,TNTBTC,BREAK,TNT,BTC
fc2d619a-9422-4962-b3ee-29cea7cb8366,TNTETH,BREAK,TNT,ETH
b17d25df-2a9f-40a8-a917-1a36c4873cdb,FUELBTC,BREAK,FUEL,BTC
85b76778-5152-4dff-8f79-2416b233c939,FUELETH,BREAK,FUEL,ETH
1341f52a-106f-47fe-8958-3b40fa791047,MANABTC,TRADING,MANA,BTC
39d0827c-a435-4c48-8652-13247657f281,MANAETH,TRADING,MANA,ETH
5b05ef32-9d6f-40df-ae1a-7a794af8ad14,BCDBTC,BREAK,BCD,BTC
46e4d672-9a25-4cae-b3dc-a686193c1dab,BCDETH,BREAK,BCD,ETH
37f570bf-f260-4bb0-b366-104ef8b364bb,DGDBTC,BREAK,DGD,BTC
a6e96818-ec1a-43cf-86e6-48248c25e56c,DGDETH,BREAK,DGD,ETH
4a1da30d-80ef-4642-815c-fe7b009bfc6f,IOTABNB,BREAK,IOTA,BNB
bf7cea7c-ee7a-4bd8-ae5a-f990e9e1a3a2,ADXBTC,TRADING,ADX,BTC
d8441168-bffa-4c8e-8acc-8f94dc467ac1,ADXETH,TRADING,ADX,ETH
791a6581-8f21-4e51-92d7-44ed9a17d97d,ADXBNB,BREAK,ADX,BNB
003426e9-4c2f-4345-b81b-fb16700105a6,ADABTC,TRADING,ADA,BTC
8b033f7e-0bca-4116-929a-f30a070cb399,ADAETH,TRADING,ADA,ETH
443c7f43-cd20-49a2-b2b7-c5c18f487c6a,PPTBTC,BREAK,PPT,BTC
2824ef4e-4b5b-4ecc-a5e9-4cf7b1b4b34a,PPTETH,BREAK,PPT,ETH
c88c5a03-d1de-42e3-ae0a-11cf319cdef2,CMTBTC,BREAK,CMT,BTC
60f8dbf8-322e-45f8-82cb-dabb83c01d46,CMTETH,BREAK,CMT,ETH
c95574e7-56ef-4389-8e96-96b1ab061de4,CMTBNB,BREAK,CMT,BNB
ca9af221-feb3-49fd-9c4a-cec7ab3cb502,XLMBTC,TRADING,XLM,BTC
690aedf9-9685-4d4b-b662-adad8ca148f3,XLMETH,TRADING,XLM,ETH
cd3287ee-1f81-4b30-a2d6-2ee7a2264dab,XLMBNB,BREAK,XLM,BNB
a0e3498e-5b7a-41ab-9347-98ef1005c83c,CNDBTC,BREAK,CND,BTC
e4caef1b-996a-44cd-9ba2-f9ba6e8e813b,CNDETH,BREAK,CND,ETH
6d206138-1be9-491a-955d-f3a3c4bba9e1,CNDBNB,BREAK,CND,BNB
252280a7-d101-4736-a330-a7afe4a38546,LENDBTC,BREAK,LEND,BTC
6cc14edf-05e0-4421-9499-91866badd47e,LENDETH,BREAK,LEND,ETH
3d470703-a523-46e6-a024-09f38905f079,WABIBTC,BREAK,WABI,BTC
c248f37b-41c3-4b57-b898-4c7c8ef01bea,WABIETH,BREAK,WABI,ETH
f6871491-1736-4f2b-bfd7-080d414d87fb,WABIBNB,BREAK,WABI,BNB
30225e5e-9eda-466f-89f9-b6ec0902bff1,LTCETH,TRADING,LTC,ETH
31916ff7-593f-4007-ace8-a7b026f562e2,LTCUSDT,TRADING,LTC,USDT
32c479dd-3838-4ca4-a7a0-2f6d730e8022,LTCBNB,TRADING,LTC,BNB
b6088e2b-b4b9-4f81-941b-dacd5051c807,TNBBTC,BREAK,TNB,BTC
7fef06be-796f-424d-a028-09396765f402,TNBETH,BREAK,TNB,ETH
dc756fd0-a733-4132-887c-5a98b983f840,WAVESBTC,BREAK,WAVES,BTC
b657b49e-d36a-4964-9fb7-804aacb55a74,WAVESETH,BREAK,WAVES,ETH
b9bc4b7a-744d-46c3-864d-022d029f8fbe,WAVESBNB,BREAK,WAVES,BNB
1cef7dd1-0836-4ee9-bdac-d2913a74302a,GTOBTC,BREAK,GTO,BTC
6a290a7d-a97d-4ce8-b63b-e5b02533ebab,GTOETH,BREAK,GTO,ETH
c6d0dc45-052b-4d34-b54b-0ca118b8251d,GTOBNB,BREAK,GTO,BNB
199f1613-1331-429d-aa03-5b36463fa509,ICXBTC,TRADING,ICX,BTC
2c78ab99-4b7d-4184-910e-f830ec72f271,ICXETH,BREAK,ICX,ETH
a4edf38a-eb15-4b18-bf4b-3d06ea2ac662,ICXBNB,BREAK,ICX,BNB
a0f98a60-c634-4128-b84c-c0216e364023,OSTBTC,BREAK,OST,BTC
1e0aceba-27fd-405e-94e9-bdc5205f23d3,OSTETH,BREAK,OST,ETH
0ca2fe63-cf67-465c-ad29-b1a443086e9c,OSTBNB,BREAK,OST,BNB
b8adfcdc-5338-479c-a7e7-2665842be6bb,ELFBTC,TRADING,ELF,BTC
735ea9bb-0b7d-4b1d-b337-d0c74451de3a,ELFETH,TRADING,ELF,ETH
0d0ca498-605a-4244-9362-a71e54fbe590,AIONBTC,BREAK,AION,BTC
69f93f9a-f903-461d-83c0-2ffa1a192b74,AIONETH,BREAK,AION,ETH
be538b5a-4950-47f8-9169-42a64cc98958,AIONBNB,BREAK,AION,BNB
a100cde1-d7b1-47cf-8344-a77197cbf838,NEBLBTC,BREAK,NEBL,BTC
4de29e99-f531-4fc4-9e1a-028b1c0e1921,NEBLBNB,BREAK,NEBL,BNB
3559e163-29e8-426b-b55a-c31ac08566bf,BRDBTC,BREAK,BRD,BTC
b8132703-9c53-4f92-b118-4bb9fca80466,BRDETH,BREAK,BRD,ETH
fe030779-73f4-4f03-a123-57c339db7546,BRDBNB,BREAK,BRD,BNB
72e77b93-a207-433b-8c35-7a56c49aee7a,MCOBNB,BREAK,MCO,BNB
bdb4c9ef-3cb6-4ea5-818c-3ce1d04d83b8,EDOBTC,BREAK,EDO,BTC
7ca07c6a-0413-4957-b928-1614a68120c6,EDOETH,BREAK,EDO,ETH
bd55a39a-c96f-4042-b5ec-694d5d2efac8,WINGSBTC,BREAK,WINGS,BTC
33d5a693-0d16-4f46-9374-3de23b4c665a,WINGSETH,BREAK,WINGS,ETH
bea11087-d72e-441c-bc34-f7a9c7f7740f,NAVBTC,BREAK,NAV,BTC
c446c8fa-6e23-4b9e-b014-0eb42d613ef4,NAVETH,BREAK,NAV,ETH
2bce49cd-8e10-4d4a-9094-4ab05f465175,NAVBNB,BREAK,NAV,BNB
2842be63-e554-4c31-8743-fd867c040ae2,LUNBTC,BREAK,LUN,BTC
a2a756a9-bf4b-4988-8611-c1bd67a016c0,LUNETH,BREAK,LUN,ETH
151fa089-a992-41a5-b8ec-db140ae4b93f,TRIGBTC,BREAK,TRIG,BTC
38781808-ee6d-4c19-ab84-1d3c080439a6,TRIGETH,BREAK,TRIG,ETH
c7cc291f-2ce3-43d4-98b2-e925d265e81d,TRIGBNB,BREAK,TRIG,BNB
9524fe70-bfa5-4d8c-98be-9d18a7a70f20,APPCBTC,BREAK,APPC,BTC
2365f936-82aa-4fdb-bce1-7069209e3668,APPCETH,BREAK,APPC,ETH
1cf8d243-981f-41c1-8033-8c8bebee67d4,APPCBNB,BREAK,APPC,BNB
ed7404f7-1721-46cd-9f7e-88a8e5b35e7c,VIBEBTC,BREAK,VIBE,BTC
6cbd23af-178a-4ffc-8d9e-606a73b103d7,VIBEETH,BREAK,VIBE,ETH
37740ef0-e1c9-4e65-9b57-60b21e57cfc3,RLCBTC,TRADING,RLC,BTC
297e4612-6e8b-4651-8095-da69853b7f0a,RLCETH,TRADING,RLC,ETH
daff3983-81a8-4443-964e-6285a969557b,RLCBNB,BREAK,RLC,BNB
6f0acd89-e085-48f6-a087-533fccda112f,INSBTC,BREAK,INS,BTC
e136773e-ca6f-4808-8df8-2b00b876aafe,INSETH,BREAK,INS,ETH
d90ee3a1-76a9-4b02-afc6-9b060ec563c7,PIVXBTC,TRADING,PIVX,BTC
d73be148-42d4-4b07-a219-25dbe4e97d85,PIVXBNB,BREAK,PIVX,BNB
5572ac7e-cad5-4de1-abb4-3c22fdc7a497,IOSTBTC,BREAK,IOST,BTC
7c2d5833-4c82-43c7-9d5c-c128de52752f,IOSTETH,BREAK,IOST,ETH
9443099d-0b95-479d-a2ae-6bd4e0240b0b,CHATBTC,BREAK,CHAT,BTC
2715ee6a-537d-4a90-a0f9-bc95864fe3b3,CHATETH,BREAK,CHAT,ETH
f8365cef-c23e-401f-8c3a-5dcb31a38887,STEEMBTC,TRADING,STEEM,BTC
33096962-d249-4d04-804f-0c882a4e2c15,STEEMETH,TRADING,STEEM,ETH
4964d725-1392-4348-ac8c-b5faec58ff68,STEEMBNB,BREAK,STEEM,BNB
955d6294-c478-46eb-ace8-74765962d1eb,NANOBTC,BREAK,NANO,BTC
7768665b-768c-485a-a7dd-981930d99991,NANOETH,BREAK,NANO,ETH
6163d346-d735-4895-9db7-73286126a5cc,NANOBNB,BREAK,NANO,BNB
ba0802d6-a946-4b6f-b577-128773df0eb1,VIABTC,BREAK,VIA,BTC
02f0f6f7-c6cb-45aa-8eb2-5ad6c1218f30,VIAETH,BREAK,VIA,ETH
52ca0391-9421-4390-bb56-a13f81c4be8d,VIABNB,BREAK,VIA,BNB
7a9ffb68-df2e-4d0b-86d1-7be735ed29ac,BLZBTC,TRADING,BLZ,BTC
b42d0788-6cee-4c05-aacf-7a0bdb7ca947,BLZETH,BREAK,BLZ,ETH
dd2be67c-74d5-4f1e-b1e2-88cf2f2b462a,BLZBNB,BREAK,BLZ,BNB
60ba6916-4e5b-488a-b71b-c7e66e9cc0b8,AEBTC,BREAK,AE,BTC
4fb88291-097d-4697-8758-ba043bdc924b,AEETH,BREAK,AE,ETH
2ac5217c-7220-4461-9e99-88f3ac539c6d,AEBNB,BREAK,AE,BNB
0801f6a0-dab6-48c0-a7d7-1c3836a4f89f,RPXBTC,BREAK,RPX,BTC
db006ba2-c833-4514-a0ad-856256b10745,RPXETH,BREAK,RPX,ETH
d17b682c-2c6a-4fd1-a01f-2009102f2a35,RPXBNB,BREAK,RPX,BNB
426c1686-6410-4e85-a177-655f72da206d,NCASHBTC,BREAK,NCASH,BTC
a8465c13-ac6e-4f1c-8da5-f832a123b9ff,NCASHETH,BREAK,NCASH,ETH
0733de57-66a4-480c-be48-72d9a92b901f,NCASHBNB,BREAK,NCASH,BNB
e72f512d-f674-4dda-bfa9-294b883c2b61,POABTC,BREAK,POA,BTC
e30a0e79-926d-4949-a017-97fd24547328,POAETH,BREAK,POA,ETH
ec14e7aa-115f-4825-b8cb-af33fc300253,POABNB,BREAK,POA,BNB
5cbb3e82-a60e-4c1a-8e00-c946e34975bf,ZILBTC,TRADING,ZIL,BTC
c3954baf-5cf9-4b61-92b5-c7c49a70c489,ZILETH,TRADING,ZIL,ETH
d9ff3498-16c6-4469-873c-2bfe0475eae0,ZILBNB,BREAK,ZIL,BNB
3f55a89e-6fa8-44e0-8e2f-45fe0eedcf65,ONTBTC,TRADING,ONT,BTC
62cb2aff-1ece-4abb-abbd-f3bccbc5183b,ONTETH,BREAK,ONT,ETH
c15e3c33-35ec-488c-b834-5da3e360d8ba,ONTBNB,BREAK,ONT,BNB
c5c0da64-805f-45d7-937a-ee9aaf4df389,STORMBTC,BREAK,STORM,BTC
a572599d-407c-4c54-b166-0e6cc4bc2401,STORMETH,BREAK,STORM,ETH
7d2f7510-e8a9-4d92-b6f6-629c94c739e6,STORMBNB,BREAK,STORM,BNB
aa50ae2c-14c7-49e5-b35d-33cbc77822d0,QTUMBNB,BREAK,QTUM,BNB
76b7dbf4-d354-4be4-bbf9-fe45320b3e1b,QTUMUSDT,TRADING,QTUM,USDT
fb71e763-b371-4573-a43f-b6aea06a15b0,XEMBTC,BREAK,XEM,BTC
bf1170df-f3cc-4704-ba54-40763c141a27,XEMETH,BREAK,XEM,ETH
afc4a421-d0cc-4140-8347-07dd6a11d6a5,XEMBNB,BREAK,XEM,BNB
01a19385-667e-41d1-8db3-2e6e211386fb,WANBTC,TRADING,WAN,BTC
c7938ec7-65eb-4d95-a97c-a0c7b3a0dead,WANETH,BREAK,WAN,ETH
bb9de711-3add-43ab-bcbe-d86ab4c3ddbf,WANBNB,BREAK,WAN,BNB
b17328c3-b8a1-4c94-a4a0-5b5c9e0db784,WPRBTC,BREAK,WPR,BTC
cc95ab47-d8cc-4520-9f99-f8b4d8cee1eb,WPRETH,BREAK,WPR,ETH
443fdf38-7f43-47ad-9971-6971306a804e,QLCBTC,BREAK,QLC,BTC
024ec0b9-1007-4187-a6a0-3e14951a4144,QLCETH,BREAK,QLC,ETH
a02e56bd-344b-48d2-b2fb-8a308a86423f,SYSBTC,TRADING,SYS,BTC
a9655ac9-4b1b-4115-9fc2-f8a54230119c,SYSETH,BREAK,SYS,ETH
344b1e37-10f2-4770-9901-5afa011c2cbb,SYSBNB,BREAK,SYS,BNB
55de31b6-4cc6-401a-a664-febe42286674,QLCBNB,BREAK,QLC,BNB
5f95abf0-e6ff-4ec7-8143-491aa04b4a2a,GRSBTC,BREAK,GRS,BTC
7a5ac586-cfc4-4edc-931c-0234810aeb2a,GRSETH,BREAK,GRS,ETH
7ca147b3-5855-4eee-82c0-6e7212ab4de9,ADAUSDT,TRADING,ADA,USDT
aa0c862a-9f1e-4624-9fc8-6d6e9a5dee99,ADABNB,TRADING,ADA,BNB
